Date,Day,K.O. CET,Group,Home,Away
14/11/2021,Sunday,15:00,Group H,Croatia,Russia
14/11/2021,Sunday,15:00,Group H,Malta,Slovakia
14/11/2021,Sunday,15:00,Group H,Slovenia,Cyprus
14/11/2021,Sunday,18:00,Group J,Armenia,Germany
14/11/2021,Sunday,18:00,Group J,Liechtenstein,Romania
14/11/2021,Sunday,18:00,Group J,North Macedonia,Iceland
14/11/2021,Sunday,20:45,Group A,Luxembourg,Republic of Ireland
14/11/2021,Sunday,20:45,Group A,Portugal,Serbia
14/11/2021,Sunday,20:45,Group B,Greece,Kosovo
14/11/2021,Sunday,20:45,Group B,Spain,Sweden
15/11/2021,Monday,20:45,Group C,Northern Ireland,Italy
15/11/2021,Monday,20:45,Group C,Switzerland,Bulgaria
15/11/2021,Monday,20:45,Group F,Austria,Moldova
15/11/2021,Monday,20:45,Group F,Israel,Faroe Islands
15/11/2021,Monday,20:45,Group F,Scotland,Denmark
15/11/2021,Monday,20:45,Group I,Albania,Andorra
15/11/2021,Monday,20:45,Group I,Poland,Hungary
15/11/2021,Monday,20:45,Group I,San Marino,England
16/11/2021,Tuesday,20:45,Group D,Bosnia-Herzegovina,Ukraine
16/11/2021,Tuesday,20:45,Group D,Finland,France
16/11/2021,Tuesday,20:45,Group E,Czech Republic,Estonia
16/11/2021,Tuesday,20:45,Group E,Wales,Belgium
16/11/2021,Tuesday,20:45,Group G,Gibraltar,Latvia
16/11/2021,Tuesday,20:45,Group G,Montenegro,Turkey
16/11/2021,Tuesday,20:45,Group G,Netherlands,Norway